"n_items","theme_id","theme_name","parent_theme_id","parent_theme_name"
23,21,Universal Building Set,1,Technic
29,280,Jack Stone,279,"4 Juniors"
38,157,Bricktober,598,Promotional
4,596,Marvel Super Heroes,591,Juniors
18,700,Justice League,695,Super Heroes DC
166,740,Storage,501,Gear
85,736,Posters and Art Prints,501,Gear
76,456,Train,443,Service Packs
92,235,"4.5V",233,Train
19,538,Series 3 Minifigures,535,Collectible Minifigures
16,573,Constraction,571,Legends of Chima
18,153,Pirates II,147,Pirates
51,171,Ultimate Collector Series,158,Star Wars
16,762,Series 26 Minifigures,535,Collectible Minifigures
10,140,Space Police II,126,Space
8,615,Cars,591,Juniors
19,541,Series 6 Minifigures,535,Collectible Minifigures
105,130,Classic Space,126,Space
75,730,Audio and Visual Media,501,Gear
19,544,Series 9 Minifigures,535,Collectible Minifigures
16,679,Mars Exploration,52,City
23,675,The LEGO Movie II,535,Collectible Minifigures
21,534,Universal Building Set,507,Educational and Dacta
19,536,Series 1 Minifigures,535,Collectible Minifigures
21,545,Series 10 Minifigures,535,Collectible Minifigures
21,506,Cars,754,Disney
16,520,RCX,518,Mindstorms
18,641,Mickey & Friends,754,Disney
15,209,Star Wars,207,Advent
11,18,Star Wars,1,Technic
16,725,Series 23 Minifigures,535,Collectible Minifigures
13,216,Friends,207,Advent
1,104,Town Plan,50,Town
19,539,Series 4 Minifigures,535,Collectible Minifigures
707,503,Key Chain,501,Gear
3,309,Aquaraiders I,307,Aquazone
357,739,Stationery and Office Supplies,501,Gear
451,67,Classic Town,50,Town
47,105,World City,50,Town
152,453,Technic,443,Service Packs
370,632,Town,504,Duplo
15,704,Guardians of the Galaxy,696,Super Heroes Marvel
20,684,DC Super Heroes,535,Collectible Minifigures
21,137,Mars Mission,126,Space
5,311,Aquasharks,307,Aquazone
62,63,Traffic,52,City
34,687,Frozen,608,Disney
48,4,Expert Builder,1,Technic
30,528,Supplemental,507,Educational and Dacta
2,274,Jurassic Park III,273,Studios
3,261,Star Wars,258,Mindstorms
9,517,Learning,507,Educational and Dacta
11,136,M:Tron,126,Space
36,533,Town,507,Educational and Dacta
6,360,Protectors,324,Bionicle
10,660,Little Forest Friends,504,Duplo
19,554,Series 15 Minifigures,535,Collectible Minifigures
7,277,Mosaic,276,Sculptures
19,547,Series 11 Minifigures,535,Collectible Minifigures
40,521,WeDo,518,Mindstorms
86,650,Legoville,632,Town
6,139,Space Police I,126,Space
2,667,Fantastic Beasts,246,Harry Potter
14,262,EV3,258,Mindstorms
16,743,Series 24 Minifigures,535,Collectible Minifigures
8,308,Aquanauts,307,Aquazone
14,417,Fire,411,Legoland
6,418,Gas Station,411,Legoland
